TAID,Name,IUPAC Name,PubChem CID,SMILES,InChIKey,Toxicity Value,EPACategoryIndex,EPACategory,tox10,tox50,tox500,tox2000
TOX-7701,,3-chloropropanenitrile,10963,N#CCCCl,GNHMRTZZNHZDDM-UHFFFAOYSA-N,8.999497352,0,<10,1,1,1,1
TOX-4808,,naphthalen-1-ylthiourea,736366,NC(=S)Nc1cccc2ccccc12,PIVQQUNOTICCSA-UHFFFAOYSA-N,4.999950559,0,<10,1,1,1,1
TOX-55259,,ethyl 2-[[2-[ethoxy(methyl)phosphoryl]sulfanylacetyl]amino]acetate,54371,CCOC(=O)CNC(=O)CSP(C)(=O)OCC,KTRXCPPABSNJBO-UHFFFAOYSA-N,5.09153553,0,<10,1,1,1,1
TOX-73209,,2-[2-(4-chlorophenyl)-2-phenylacetyl]-3-hydroxyinden-1-one,13187925,O=C1C(=C(O)C(c2ccccc2)c2ccc(Cl)cc2)C(=O)c2ccccc21,DTFNUCZNYWVBRK-UHFFFAOYSA-N,1.059934956,0,<10,1,1,1,1
TOX-54376,,"2-[bis(dimethylamino)phosphoryl]-5-butyl-1,2,4-triazol-3-amine",3060481,CCCCc1nc(N)n(P(=O)(N(C)C)N(C)C)n1,DLRAVTCMBQZNGY-UHFFFAOYSA-N,9.999671901,0,<10,1,1,1,1
TOX-67451,,,6450773,Cn1cccc1/C=N/NC(=O)Nc1ccccc1,JVEMRXYMHBTPLT-UVTDQMKNSA-N,0.057999521,0,<10,1,1,1,1
TOX-11760,Methylethylthiophos,ethoxy-methoxy-(4-nitrophenoxy)-sulfanylidene-lambda5-phosphane,164993,CCOP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,NABCJYMXPFVERX-UHFFFAOYSA-N,4.200030297,0,<10,1,1,1,1
TOX-2874,NEOSTIGMINE,[3-(dimethylcarbamoyloxy)phenyl]-trimethylazanium,4456,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,ALWKGYPQUAPLQC-UHFFFAOYSA-N,9.293834397,0,<10,1,1,1,1
TOX-26461,,"[(2-methyl-1,3-dithiolan-2-yl)methylideneamino] N-methylcarbamate",204067,CNC(=O)ON=CC1(C)SCCS1,ZFUOBKRWDAHLGT-UHFFFAOYSA-N,4.599603303,0,<10,1,1,1,1
TOX-26462,,"[(2-methyl-1,3-dithian-2-yl)methylideneamino] N-methylcarbamate",204068,CNC(=O)ON=CC1(C)SCCCS1,YRROZKZBFAEWIZ-UHFFFAOYSA-N,0.099980371,0,<10,1,1,1,1
