TAID,Name,IUPAC Name,PubChem CID,SMILES,InChIKey,Tox
TOX-75,minoxidil,3-hydroxy-2-imino-6-piperidin-1-ylpyrimidin-4-amine,4201.0,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],ZIMGGGWCDYVHOY-UHFFFAOYSA-N,0
TOX-94,allopurinol,"1,5-dihydropyrazolo[3,4-d]pyrimidin-4-one",135401907.0,Oc1ncnc2[nH]ncc12,OFCNXPDARWKPPY-UHFFFAOYSA-N,0
TOX-110,niclosamide,5-chloro-N-(2-chloro-4-nitrophenyl)-2-hydroxybenzamide,4477.0,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,RJMUSRYZPJIFPJ-UHFFFAOYSA-N,1
TOX-122,mitoxantrone,"1,4-dihydroxy-5,8-bis[2-(2-hydroxyethylamino)ethylamino]anthracene-9,10-dione",4212.0,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,KKZJGLLVHKMTCM-UHFFFAOYSA-N,0
TOX-145,hydroquinone,"benzene-1,4-diol",785.0,Oc1ccc(O)cc1,QIGBRXMKCJKVMJ-UHFFFAOYSA-N,0
TOX-158,clioquinol,5-chloro-7-iodoquinolin-8-ol,2788.0,Oc1c(I)cc(Cl)c2cccnc12,QCDFBFJGMNKBDO-UHFFFAOYSA-N,0
TOX-162,riluzole,"6-(trifluoromethoxy)-1,3-benzothiazol-2-amine",5070.0,Nc1nc2ccc(OC(F)(F)F)cc2s1,FTALBRSUTCGOEG-UHFFFAOYSA-N,0
TOX-163,cilostazol,"6-[4-(1-cyclohexyltetrazol-5-yl)butoxy]-3,4-dihydro-1H-quinolin-2-one",2754.0,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,RRGUKTPIGVIEKM-UHFFFAOYSA-N,0
TOX-183,clotrimazole,1-[(2-chlorophenyl)-diphenylmethyl]imidazole,2812.0,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,VNFPBHJOKIVQEB-UHFFFAOYSA-N,1
TOX-194,triamterene,"6-phenylpteridine-2,4,7-triamine",5546.0,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,FNYLWPVRPXGIIP-UHFFFAOYSA-N,0
TOX-195,phenindione,"2-phenylindene-1,3-dione",4760.0,O=C1c2ccccc2C(=O)C1c1ccccc1,NFBAXHOPROOJAW-UHFFFAOYSA-N,0
TOX-207,Monobenzone,4-phenylmethoxyphenol,7638.0,Oc1ccc(OCc2ccccc2)cc1,VYQNWZOUAUKGHI-UHFFFAOYSA-N,0
TOX-230,hydralazine,phthalazin-1-ylhydrazine,3637.0,NNc1nncc2ccccc12,RPTUSVTUFVMDQK-UHFFFAOYSA-N,0
TOX-244,ifosfamide,"N,3-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",3690.0,O=P1(NCCCl)OCCCN1CCCl,HOMGKSMUEGBAAB-UHFFFAOYSA-N,0
TOX-249,isoniazid,pyridine-4-carbohydrazide,3767.0,NNC(=O)c1ccncc1,QRXWMOHMRWLFEY-UHFFFAOYSA-N,0
TOX-251,cyclophosphamide,"N,N-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",2907.0,O=P1(N(CCCl)CCCl)NCCCO1,CMSMOCZEIVJLDB-UHFFFAOYSA-N,0
TOX-270,iopamidol,"1-N,3-N-bis(1,3-dihydroxypropan-2-yl)-5-[[(2S)-2-hydroxypropanoyl]amino]-2,4,6-triiodobenzene-1,3-dicarboxamide",65492.0,C[C@H](O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,XQZXYNRDCRIARQ-LURJTMIESA-N,0
TOX-346,Masoprocol,"4-[(2S,3R)-4-(3,4-dihydroxyphenyl)-2,3-dimethylbutyl]benzene-1,2-diol",71398.0,C[C@@H](Cc1ccc(O)c(O)c1)[C@H](C)Cc1ccc(O)c(O)c1,HCZKYJDFEPMADG-TXEJJXNPSA-N,1
TOX-378,decamethonium,trimethyl-[10-(trimethylazaniumyl)decyl]azanium,2968.0,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,MTCUAOILFDZKCO-UHFFFAOYSA-N,0
TOX-379,succinylcholine,trimethyl-[2-[4-oxo-4-[2-(trimethylazaniumyl)ethoxy]butanoyl]oxyethyl]azanium,5314.0,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,AXOIZCJOOAYSMI-UHFFFAOYSA-N,0
TOX-380,Carbamylcholine,2-carbamoyloxyethyl(trimethyl)azanium,2551.0,C[N+](C)(C)CCOC(N)=O,VPJXQGSRWJZDOB-UHFFFAOYSA-O,0
TOX-385,Diphemanil,"4-benzhydrylidene-1,1-dimethylpiperidin-1-ium",6127.0,C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1,LCTZPQRFOZKZNK-UHFFFAOYSA-N,0
TOX-396,pyridostigmine,"(1-methylpyridin-1-ium-3-yl) N,N-dimethylcarbamate",4991.0,CN(C)C(=O)Oc1ccc[n+](C)c1,RVOLLAQWKVFTGE-UHFFFAOYSA-N,0
TOX-471,probucol,"2,6-ditert-butyl-4-[2-(3,5-ditert-butyl-4-hydroxyphenyl)sulfanylpropan-2-ylsulfanyl]phenol",4912.0,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,FYPMFJGVHOHGLL-UHFFFAOYSA-N,0
TOX-478,metyrapone,"2-methyl-1,2-dipyridin-3-ylpropan-1-one",4174.0,CC(C)(C(=O)c1cccnc1)c1cccnc1,FJLBFSROUSIWMA-UHFFFAOYSA-N,0
TOX-510,propofol,"2,6-di(propan-2-yl)phenol",4943.0,CC(C)c1cccc(C(C)C)c1O,OLBCVFGFOZPWHH-UHFFFAOYSA-N,0
TOX-528,procarbazine,4-[(2-methylhydrazinyl)methyl]-N-propan-2-ylbenzamide,4915.0,CNNCc1ccc(C(=O)NC(C)C)cc1,CPTBDICYNRMXFX-UHFFFAOYSA-N,0
TOX-565,colchicine,"N-[(7S)-1,2,3,10-tetramethoxy-9-oxo-6,7-dihydro-5H-benzo[a]heptalen-7-yl]acetamide",6167.0,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,IAKHMKGGTNLKSZ-INIZCTEOSA-N,1
TOX-570,acetazolamide,"N-(5-sulfamoyl-1,3,4-thiadiazol-2-yl)acetamide",1986.0,CC(=O)Nc1nnc(S(N)(=O)=O)s1,BZKPWHYZMXOIDC-UHFFFAOYSA-N,0
TOX-581,aspirin,2-acetyloxybenzoic acid,2244.0,CC(=O)Oc1ccccc1C(=O)O,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,0
TOX-606,nilutamide,"5,5-dimethyl-3-[4-nitro-3-(trifluoromethyl)phenyl]imidazolidine-2,4-dione",4493.0,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,XWXYUMMDTVBTOU-UHFFFAOYSA-N,0
TOX-607,trimethadione,"3,5,5-trimethyl-1,3-oxazolidine-2,4-dione",5576.0,CN1C(=O)OC(C)(C)C1=O,IRYJRGCIQBGHIV-UHFFFAOYSA-N,0
TOX-623,pyridoxine,"4,5-bis(hydroxymethyl)-2-methylpyridin-3-ol",1054.0,Cc1ncc(CO)c(CO)c1O,LXNHXLLTXMVWPM-UHFFFAOYSA-N,0
TOX-644,lansoprazole,"2-[[3-methyl-4-(2,2,2-trifluoroethoxy)pyridin-2-yl]methylsulfinyl]-1H-benzimidazole",3883.0,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,MJIHNNLFOKEZEW-UHFFFAOYSA-N,0
TOX-646,leflunomide,"5-methyl-N-[4-(trifluoromethyl)phenyl]-1,2-oxazole-4-carboxamide",3899.0,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,VHOGYURTWQBHIL-UHFFFAOYSA-N,0
TOX-661,,4-methyl-1H-pyrazole,3406.0,Cc1cn[nH]c1,RIKMMFOAQPJVMX-UHFFFAOYSA-N,0
TOX-713,metronidazole,2-(2-methyl-5-nitroimidazol-1-yl)ethanol,4173.0,Cc1ncc([N+](=O)[O-])n1CCO,VAOCPAMSLUNLGC-UHFFFAOYSA-N,0
TOX-737,pilocarpine,"(3S,4R)-3-ethyl-4-[(3-methylimidazol-4-yl)methyl]oxolan-2-one",5910.0,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,QCHFTSOMWOSFHM-WPRPVWTQSA-N,1
TOX-739,edrophonium,ethyl-(3-hydroxyphenyl)-dimethylazanium,3202.0,CC[N+](C)(C)c1cccc(O)c1,VWLHWLSRQJQWRG-UHFFFAOYSA-O,0
TOX-741,methantheline,diethyl-methyl-[2-(9H-xanthene-9-carbonyloxy)ethyl]azanium,4097.0,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,GZHFODJQISUKAY-UHFFFAOYSA-N,0
TOX-743,Triethylgallamine,"2-[2,3-bis[2-(triethylazaniumyl)ethoxy]phenoxy]ethyl-triethylazanium",3450.0,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,OZLPUNFFCJDMJD-UHFFFAOYSA-N,0
TOX-744,ambenonium,(2-chlorophenyl)methyl-[2-[[2-[2-[(2-chlorophenyl)methyl-diethylazaniumyl]ethylamino]-2-oxoacetyl]amino]ethyl]-diethylazanium,2131.0,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,OMHBPUNFVFNHJK-UHFFFAOYSA-P,0
TOX-766,simvastatin,"[(1S,3R,7S,8S,8aR)-8-[2-[(2R,4R)-4-hydroxy-6-oxooxan-2-yl]ethyl]-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl] 2,2-dimethylbutanoate",54454.0,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,RYMZZMVNJRMUDD-HGQWONQESA-N,0
TOX-803,ethionamide,2-ethylpyridine-4-carbothioamide,2761171.0,CCc1cc(C(N)=S)ccn1,AEOCXXJPGCBFJA-UHFFFAOYSA-N,0
TOX-873,Benzonatate,2-[2-[2-[2-[2-[2-[2-[2-(2-methoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethyl 4-(butylamino)benzoate,7699.0,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,MAFMQEKGGFWBAB-UHFFFAOYSA-N,0
TOX-889,lidocaine,"2-(diethylamino)-N-(2,6-dimethylphenyl)acetamide",3676.0,CCN(CC)CC(=O)Nc1c(C)cccc1C,NNJVILVZKWQKPM-UHFFFAOYSA-N,0
TOX-905,clofibrate,ethyl 2-(4-chlorophenoxy)-2-methylpropanoate,2796.0,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,KNHUKKLJHYUCFP-UHFFFAOYSA-N,0
TOX-912,Etomidate,ethyl 3-(1-phenylethyl)imidazole-4-carboxylate,36339.0,CCOC(=O)c1cncn1C(C)c1ccccc1,NPUKDXXFDDZOKR-UHFFFAOYSA-N,0
TOX-915,loratadine,"ethyl 4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(11),3(8),4,6,12,14-hexaen-2-ylidene)piperidine-1-carboxylate",3957.0,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,JCCNYMKQOSZNPW-UHFFFAOYSA-N,1
TOX-925,tinidazole,1-(2-ethylsulfonylethyl)-2-methyl-5-nitroimidazole,5479.0,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,HJLSLZFTEKNLFI-UHFFFAOYSA-N,0
TOX-939,methotrexate,"(2S)-2-[[4-[(2,4-diaminopteridin-6-yl)methyl-methylamino]benzoyl]amino]pentanedioic acid",126941.0,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,FBOZXECLQNJBKD-ZDUSSCGKSA-N,0
TOX-987,trimethoprim,"5-[(3,4,5-trimethoxyphenyl)methyl]pyrimidine-2,4-diamine",5578.0,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IEDVJHCEMCRBQM-UHFFFAOYSA-N,0
TOX-993,oxybenzone,(2-hydroxy-4-methoxyphenyl)-phenylmethanone,4632.0,COc1ccc(C(=O)c2ccccc2)c(O)c1,DXGLGDHPHMLXJC-UHFFFAOYSA-N,0
TOX-994,chlorotrianisene,"1-[1-chloro-2,2-bis(4-methoxyphenyl)ethenyl]-4-methoxybenzene",11289.0,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,BFPSDSIWYFKGBC-UHFFFAOYSA-N,0
TOX-1026,isocarboxazid,"N'-benzyl-5-methyl-1,2-oxazole-3-carbohydrazide",3759.0,Cc1cc(C(=O)NNCc2ccccc2)no1,XKFPYPQQHFEXRZ-UHFFFAOYSA-N,0
TOX-1036,altretamine,"2-N,2-N,4-N,4-N,6-N,6-N-hexamethyl-1,3,5-triazine-2,4,6-triamine",2123.0,CN(C)c1nc(N(C)C)nc(N(C)C)n1,UUVWYPNAQBNQJQ-UHFFFAOYSA-N,0
TOX-1064,hydroxyurea,hydroxyurea,3657.0,NC(=O)NO,VSNHCAURESNICA-UHFFFAOYSA-N,0
TOX-1097,acetaminophen,N-(4-hydroxyphenyl)acetamide,1983.0,CC(=O)Nc1ccc(O)cc1,RZVAJINKPMORJF-UHFFFAOYSA-N,0
TOX-1099,azathioprine,6-(3-methyl-5-nitroimidazol-4-yl)sulfanyl-7H-purine,2265.0,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,LMEKQMALGUDUQG-UHFFFAOYSA-N,0
TOX-1115,isopropamide,"(4-amino-4-oxo-3,3-diphenylbutyl)-methyl-di(propan-2-yl)azanium",3775.0,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C,JTPUMZTWMWIVPA-UHFFFAOYSA-O,0
TOX-1122,primidone,"5-ethyl-5-phenyl-1,3-diazinane-4,6-dione",4909.0,CCC1(c2ccccc2)C(=O)NCNC1=O,DQMZLTXERSFNPB-UHFFFAOYSA-N,0
TOX-1123,propantheline,methyl-di(propan-2-yl)-[2-(9H-xanthene-9-carbonyloxy)ethyl]azanium,4934.0,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,VVWYOYDLCMFIEM-UHFFFAOYSA-N,0
TOX-1131,miconazole,"1-[2-(2,4-dichlorophenyl)-2-[(2,4-dichlorophenyl)methoxy]ethyl]imidazole",4189.0,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,BYBLEWFAAKGYCD-UHFFFAOYSA-N,1
TOX-1133,sulfanilamide,4-aminobenzenesulfonamide,5333.0,Nc1ccc(S(N)(=O)=O)cc1,FDDDEECHVMSUSB-UHFFFAOYSA-N,0
TOX-1143,albendazole,methyl N-(6-propylsulfanyl-1H-benzimidazol-2-yl)carbamate,2082.0,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,HXHWSAZORRCQMX-UHFFFAOYSA-N,0
TOX-1156,pyrimethamine,"5-(4-chlorophenyl)-6-ethylpyrimidine-2,4-diamine",4993.0,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,WKSAUQYGYAYLPV-UHFFFAOYSA-N,0
TOX-1195,pyrazinamide,pyrazine-2-carboxamide,1046.0,NC(=O)c1cnccn1,IPEHBUMCGVEMRF-UHFFFAOYSA-N,0
TOX-1206,carbamazepine,benzo[b][1]benzazepine-11-carboxamide,2554.0,NC(=O)N1c2ccccc2C=Cc2ccccc21,FFGPTBGBLSHEPO-UHFFFAOYSA-N,0
TOX-1253,disulfiram,"diethylcarbamothioylsulfanyl N,N-diethylcarbamodithioate",3117.0,CCN(CC)C(=S)SSC(=S)N(CC)CC,AUZONCFQVSMFAP-UHFFFAOYSA-N,1
TOX-1264,nabumetone,4-(6-methoxynaphthalen-2-yl)butan-2-one,4409.0,COc1ccc2cc(CCC(C)=O)ccc2c1,BLXXJMDCKKHMKV-UHFFFAOYSA-N,0
TOX-1267,letrozole,"4-[(4-cyanophenyl)-(1,2,4-triazol-1-yl)methyl]benzonitrile",3902.0,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,HPJKCIUCZWXJDR-UHFFFAOYSA-N,0
TOX-1311,Melatonin,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide,896.0,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,DRLFMBDRBRZALE-UHFFFAOYSA-N,0
TOX-1338,EMBELIN,"2,5-dihydroxy-3-undecylcyclohexa-2,5-diene-1,4-dione",3218.0,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,IRSFLDGTOHBADP-UHFFFAOYSA-N,0
TOX-1579,berberine,"16,17-dimethoxy-5,7-dioxa-13-azoniapentacyclo[11.8.0.02,10.04,8.015,20]henicosa-1(13),2,4(8),9,14,16,18,20-octaene",2353.0,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,YBHILYKTIRIUTE-UHFFFAOYSA-N,0
TOX-1582,SANGUINARINE,"24-methyl-5,7,18,20-tetraoxa-24-azoniahexacyclo[11.11.0.02,10.04,8.014,22.017,21]tetracosa-1(24),2,4(8),9,11,13,15,17(21),22-nonaene",5154.0,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,INVGWHRKADIJHF-UHFFFAOYSA-N,0
TOX-1625,emodin,"1,3,8-trihydroxy-6-methylanthracene-9,10-dione",3220.0,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,RHMXXJGYXNZAPX-UHFFFAOYSA-N,1
